"1678100","1.","1. Управляющие бизнес-процессы","999","УПБП_1.","1","0","2020-02-18","2100-01-01","","","","",""
"1676304","1.1.","1.1. Стратегическое планирование и определение целей","15","УПБП_1.1.","0","1678100","2017-04-20","2100-01-01","Своевременное принятие документов, определяющих целевые ориентиры развития Банка","Долгосрочные программы и концепции развития банковского сектора, Основные направления денежно-кредитной политики Республики Беларусь на очередной год, долгосрочные программы социально-экономического развития Республики Беларусь","Среднесрочная стратегия развития Банка, планы мероприятий по обеспечению развития Банка, основные показатели развития Банка на финансовый год","","Стратегия; программы развития; показатели развития; стратегическая карта; ключевые факторы успеха"
"2017181","1.10.","1.10. Процессное управление","999","УПБП_1.10.","1","1678100","2019-03-15","2100-01-01","","","","",""
"2017340","1.10.1.","1.10.1. Построение, развитие и управление системой процессного управления","49","УПБП_1.10.1.","0","2017181","2019-03-15","2100-01-01","Обеспечение надлежащего функционирования и развития системы процессного управления в  соответствии с уровнем процессной деятельности Банка ","Стратегия Банка, аналитическая информация по бизнес-процессам, Матрица потерь Банка, справки (акты), заключения, докладные записки, составленные по результатам аудиторских и последующих проверок, данные о поступивших в Банк обращениях,  результаты расследований фактов реализации операционного риска, аналитическая информация по заявкам на доработку программного обеспечения, справки о состоянии бизнес-процессов, предложения по показателям бизнес-процессов","Правила и принципы функционирования системы процессного управления, правила приоритизации и ранжирования бизнес-процессов для оптимизации, описания (актуализации моделей), управленческая отчетность по системе процессного управления, Матрица ранжирования бизнес-процессов, Модель (дерево) бизнес-процессов Банка верхнего уровня, Реестр бизнес-процессов, подлежащих оптимизации, Реестр бизнес-процессов, подлежащих описанию (актуализации модели), модели Организационной структуры Банка, Дерева продуктов Банка, ИТ-архитектуры бизнес-приложений Банка, справочник бизнес-процессов, Координационный план мероприятий по оптимизации бизнес-процессов Банка, решения Проектно-процессного комитета по вопросам системы процессного управления","",""
"2017341","1.10.2.","1.10.2. Управление жизненным циклом бизнес-процессов Банка","49","УПБП_1.10.2.","0","2017181","2019-03-15","2100-01-01","Обеспечение своевременности идентификации, регламентации, внедрения и совершенствования бизнес-процессов Банка, создание и поддержание условий, необходимых для выполнения экземпляров бизнес-процессов ","Решения о предоставлении новых банковских продуктов (банковских услуг), выполнении новых функций (операций), о внедрении (выделении) новых направлений деятельности (видов деятельности), Стратегия Банка, аналитическая информация по бизнес-процессам, Матрица потерь Банка, справки (акты), заключения, докладные записки, составленные по результатам аудиторских и последующих проверок, поступившие в Банк обращения, докладные записки о необходимости проведения расследований фактов реализации операционного риска","Предложения по дополнению (изменению) Модели (дерева) бизнес-процессов Банка верхнего уровня, модели бизнес-процессов, потребность в доработке и (или) проектировании, адаптации и внедрении программного обеспечения, потребности в изменении штатно-организационной структуре подразделений Банка, в персонале для выполнения бизнес-процессов, предложения по показателям бизнес-процессов, справки о состоянии бизнес-процессов, аналитически и статистические данных по бизнес-процессам, информация по поступившим в Банк обращениям, результаты расследований фактов реализации операционного риска","",""
"2017184","1.11.","1.11. Управление эффективностью деятельности Банка","999","УПБП_1.11.","1","1678100","2019-03-15","2100-01-01","","","","",""
"2017186","1.11.1.","1.11.1. Планирование, анализ и управление развитием корпоративного бизнеса Банка","1","УПБП_1.11.1.","0","2017184","2019-03-15","2100-01-01","Обеспечение эффективного и результативного функционирования и развития корпоративного бизнеса Банка ","Стратегический план развития Банка, необходимость эффективного и результативного развития корпоративного бизнеса","По направлению корпоративного бизнеса организованы бизнес-процессы, продуктовая линейка, показатели, внешняя отчетность, управленческая отчетность по реализации стратегических целей и задач","",""
"2017187","1.11.2.","1.11.2. Планирование, анализ и управление развитием розничного бизнеса Банка","1","УПБП_1.11.2.","0","2017184","2019-03-15","2100-01-01","Обеспечение эффективного и результативного функционирования и развития розничного бизнеса Банка ","Стратегический план развития Банка, необходимость эффективного и результативного развития розничного бизнеса","Продуктовая  линейка, внешняя и внутренняя отчетность, управленческая отчетность по реализации стратегических целей и задач, планы, отчет о результативности бизнес-процесса","",""
"2113401","1.12.","1.12. Оценка эффективности системы внутреннего контроля, системы управления рисками, в том числе на консолидированной основе, а также оценка эффективности бизнес-процессов по итогам аудиторских проверок","17","УПБП_1.12.","0","1678100","2020-02-18","2100-01-01","Оценка эффективности системы внутреннего контроля, оценка эффективности системы управления рисками, в том числе на консолидированной основе, оценка эффективности организации бизнес-процессов с выработкой рекомендаций по повышению эффективности","Массив информации (первичные документы, аналитические данные, распорядительные документы и т.д.) формируемый в текущей деятельности Банком","Оформленная соответствующими документами (отчет об итогах аудиторской проверки, докладная записка и т.п.) оценка системы внутреннего контроля, оценка эффективности системы управления рисками, оценка эффективности организации бизнес-процессов с рекомендациями по совершенствованию и повышению эффективности","","бизнес-процесс 1.12. введен распоряжением ОАО \"Белагропромбанк\" от 17.02.2020 № 91"
"1676634","1.2.","1.2. Финансово-экономическое управление","15","УПБП_1.2.","0","1678100","2016-03-30","2100-01-01","Повышение эффективности деятельности Банка посредством предоставления необходимой информации для принятия Руководством обоснованных управленческих решенийОпределение оптимального объема и структуры доходов и расходов, обеспечивающих получение прибыли, достаточной для достижения стратегических ориентиров деятельности БанкаФормирование пруденциальной отчетности, календарных взносов в резерв Агентства по гарантированному возмещению банковских вкладов (депозитов) физических лиц и фонда обязательных резервов, размещаемого в Национальном банке Республики БеларусьОптимизация затрат, изыскание резервов для дальнейшего наращивания доходов","1. Информация и предложения структурных подразделений и служб центрального аппарата Банка, структурных подразделений, расположенных вне места нахождения Банка и не имеющих самостоятельного баланса, балансовые и аналитические данные. 2. Запросы сторонних организаций по вопросам финансово-хозяйственной деятельности Банка.\r\n3. Запросы структурных подразделений и служб центрального аппарата, структурных подразделений, расположенных вне места нахождения Банка и не имеющих самостоятельного баланса, обособленных подразделений Банка по вопросам финансово-хозяйственной деятельности Банка.\r\n4. Информация структурных подразделений центрального аппарата Банка, структурных подразделений, расположенных вне места нахождения Банка и не имеющих самостоятельного баланса, об активах и пассивах по срокам погашения (изменения процентной ставки) и средневзвешенных процентных ставках по активам и пассивам, чувствительным к изменению процентных ставок.\r\n5. Информация структурных подразделений центрального аппарата Банка, структурных подразделений, расположенных вне места нахождения Банка и не имеющих самостоятельного баланса, об активах и внебалансовых обязательствах Банка оцененных по степени кредитного риска. Данные структурных подразделений центрального аппарата о валютном, процентном, товарном, операционном рисках.\r\n6. Информация структурных подразделений центрального аппарата Банка, структурных подразделений, расположенных вне места нахождения Банка и не имеющих самостоятельного баланса, об активах и обязательствах Банка, распределенных по срокам погашения (возврата).\r\n7. Информация структурных подразделений центрального аппарата Банка, структурных подразделений, расположенных вне места нахождения Банка и не имеющих самостоятельного баланса, об объемах депозитов, кредитов по срокам привлечения (выдачи), процентных ставках по ним; накопленным остаткам по обязательствам и кредитам Банка, начисленным расходам.\r\n8. Предложения структурных подразделений центрального аппарата Банка по внесению изменений и дополнений в Сборник платы, балансовые и аналитические данные.\r\n9. Основные направления денежно-кредитной политики\r\nСтратегия развития Банка\r\nПрогнозный баланс Банка\r\nФонд развития Банка\r\nОсновные направления денежно-кредитной политики\r\nСтратегия развития Банка\r\nПрогнозный баланс Банка\r\nФонд развития Банка\r\nИнформация структурных подразделений центрального аппарата Банка, структурных подразделений, расположенных вне места нахождения Банка и не имеющих самостоятельного баланса, о планируемых параметрах Сметы доходов и расходов, операционных расходах, Сметы капитальных вложений .\r\n10. Балансовые данные и сведения по учету аккредитивов в разрезе клиентов, полученные от структурных подразделений, расположенных вне места нахождения Банка и не имеющих самостоятельного баланса,центрального аппарата.\r\n11. Балансовые данные","1. Распределение полученной Банком прибыли в фонды (после подготовки предложений и принятия соответствующего решения ОСА[1]). Информация о выполнении службами центрального аппарата  и структурными подразделениями, расположенных вне места нахождения Банка и не имеющими самостоятельного баланса, сметы капитальных вложений Банка.\r\nАнализ результатов выполнения смет доходов и расходов, операционных расходов (докладная записка, протоколы решений Правления и Наблюдательного совета Банка.\r\nАнализ динамики расходов на представительские цели в разрезе их видов и региональных дирекций, а также в сравнении с плановыми параметрами.\r\n2. Информация о результатах деятельности Банка в соответствии с запросами.\r\n3. Информация в соответствии с запросами.\r\n4. Отчет по ф.28216 \"Отчет об активах и обязательствах, чувствительных к изменению процентной ставки\".\r\n5. Отчет по форме 2801 \"Расчет достаточности нормативного капитала\".\r\n6. Отчет по форме 2809 \"Расчет ликвидности\".\r\n7. Отчет по форме 1701 \"Средние процентные ставки кредитно-депозитного рынка\".\r\n8. Утвержденные изменения и дополнения в Сборник платы (подготовленные и внесенные соответствующие материалы на рассмотрение Финансовому комитету Банка).\r\n9. Смета доходов и расходов, операционных расходов,\r\n Смета капитальных вложений.\r\n10. Распоряжение Финансового департамента на регулировку фонда обязательных резервов.\r\n11. Распоряжение Финансового департамента на перечисление сумм календарных взносов","","Расчет финансового результата Региональной дирекции"
